Area,Months,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
Romania,January,-0.164000,1.810000,-6.143000,-3.927000,1.700000,-0.927000,-2.482000,-1.314000,-3.417000,1.203000,2.606000,-0.249000,0.016000,0.162000,3.272000,1.073000,1.323000,0.546000,0.013000,-2.389000,-0.802000,-0.616000,3.956000,2.741000,-3.800000,2.345000,-2.706000,3.726000,2.185000,1.113000,2.254000,1.022000,1.463000,4.497000,0.349000,-0.683000,0.381000,3.317000,2.357000,-1.540000,3.564000,1.063000,0.872000,-0.729000,2.754000,-1.808000,6.631000,1.368000,1.514000,-0.305000,1.081000,1.134000,1.764000,3.608000,2.896000,0.546000,-2.680000,3.590000,1.186000
Romania,February,1.070000,-1.159000,-1.901000,-2.025000,-4.452000,5.110000,-0.914000,2.209000,-0.981000,0.141000,1.154000,1.462000,2.128000,3.460000,-0.300000,-3.048000,4.820000,-0.124000,0.406000,-0.024000,0.092000,-2.145000,-0.247000,-0.597000,-6.913000,-2.744000,-0.098000,1.504000,3.472000,4.494000,-2.113000,0.468000,-1.882000,1.457000,4.982000,-2.526000,1.505000,3.365000,0.670000,2.204000,2.368000,5.825000,-4.132000,1.078000,-2.273000,-0.819000,3.524000,3.012000,1.606000,1.086000,-0.809000,-5.220000,2.789000,3.190000,1.568000,6.388000,2.201000,0.826000,3.258000
Romania,March,2.669000,-1.974000,-2.377000,-1.807000,0.186000,1.057000,1.348000,0.339000,-2.674000,0.548000,-1.293000,1.710000,-1.161000,1.708000,3.458000,-1.884000,2.835000,1.715000,2.632000,-0.908000,2.623000,-0.166000,2.362000,-1.097000,-1.226000,-0.062000,-4.939000,0.355000,3.565000,4.757000,1.616000,1.304000,-1.223000,3.031000,1.312000,-4.027000,-0.045000,-0.920000,1.935000,1.115000,4.101000,3.482000,-0.979000,1.762000,-1.097000,0.156000,3.405000,3.146000,1.078000,1.162000,0.865000,1.742000,0.066000,4.336000,1.706000,2.814000,4.436000,-0.213000,3.932000
Romania,April,2.689000,0.956000,-0.157000,0.437000,-2.376000,2.124000,0.060000,2.602000,-1.148000,1.067000,-0.020000,2.413000,-0.066000,-1.882000,0.735000,0.701000,-0.708000,-0.513000,-0.984000,-1.605000,-1.139000,-2.027000,2.432000,-1.093000,0.952000,2.452000,-1.150000,-0.985000,3.000000,0.518000,-0.738000,0.597000,-0.586000,1.617000,-0.070000,-0.297000,-3.536000,2.395000,1.421000,3.190000,0.475000,0.022000,-1.049000,1.046000,0.389000,1.402000,0.842000,1.424000,2.117000,0.949000,0.418000,2.425000,2.365000,1.379000,0.035000,3.148000,0.010000,5.036000,1.254000
Romania,May,-1.394000,0.627000,1.116000,-1.338000,-1.060000,0.057000,0.619000,2.509000,2.325000,-1.381000,1.531000,0.469000,0.493000,-1.286000,1.572000,-0.686000,0.263000,-1.537000,1.206000,-1.925000,-0.699000,1.030000,2.004000,0.549000,2.023000,1.705000,-1.176000,0.308000,-0.532000,0.143000,-2.267000,-0.691000,1.488000,0.967000,-0.563000,2.692000,1.261000,-0.136000,-0.260000,1.711000,0.757000,2.162000,4.049000,-0.730000,1.109000,0.311000,2.664000,0.773000,1.356000,1.213000,0.612000,1.839000,2.640000,0.447000,1.624000,0.174000,0.828000,3.490000,0.421000
Romania,June,0.756000,-0.994000,0.616000,2.313000,0.100000,-1.302000,-0.945000,0.840000,-0.718000,-0.254000,-0.671000,1.084000,-0.731000,-1.455000,0.506000,-1.700000,-0.539000,-0.835000,1.942000,-0.819000,1.401000,0.266000,-0.649000,-1.553000,-1.434000,0.159000,0.506000,-0.401000,-1.255000,-0.302000,0.259000,0.188000,0.286000,0.069000,0.831000,1.287000,0.602000,1.354000,1.817000,1.111000,-0.853000,1.503000,2.503000,0.069000,-0.639000,0.275000,2.755000,1.556000,1.106000,1.133000,1.159000,2.869000,1.452000,0.084000,1.107000,2.283000,2.211000,2.061000,3.712000
Romania,July,-0.544000,-0.665000,1.533000,-0.102000,0.053000,0.275000,0.848000,-0.546000,-1.390000,0.504000,-0.952000,0.962000,-0.076000,-1.118000,0.158000,-0.433000,-0.328000,-1.438000,-1.909000,-0.761000,-0.683000,-0.832000,0.661000,-1.771000,-0.400000,-0.836000,2.169000,2.189000,-0.155000,0.260000,0.952000,0.231000,-0.429000,1.832000,1.876000,-0.165000,-0.325000,0.951000,2.024000,1.007000,2.167000,2.856000,1.219000,0.695000,0.714000,1.328000,3.146000,0.796000,1.909000,1.929000,1.381000,4.372000,1.020000,1.248000,2.766000,1.941000,1.553000,1.429000,1.167000
Romania,August,-0.058000,1.716000,1.941000,-1.180000,-1.758000,0.427000,0.681000,-1.251000,-0.035000,-0.388000,0.890000,-0.316000,-0.833000,0.811000,-0.441000,-3.161000,-0.627000,-1.604000,-0.934000,-1.082000,-0.580000,0.260000,-0.440000,-1.236000,0.787000,1.404000,-1.427000,1.055000,0.727000,0.472000,-0.386000,3.806000,0.823000,1.615000,0.157000,0.276000,-0.611000,1.050000,0.968000,2.103000,2.410000,0.615000,2.620000,0.557000,0.427000,0.649000,2.352000,2.340000,1.601000,2.976000,1.652000,2.830000,2.347000,1.476000,3.019000,1.504000,3.041000,3.264000,2.972000
Romania,September,0.497000,-0.093000,1.667000,-0.580000,1.297000,-0.241000,1.532000,0.228000,0.261000,-0.599000,-2.039000,-2.192000,0.898000,0.835000,1.979000,-1.082000,-1.918000,-1.627000,0.729000,-1.142000,0.550000,2.740000,0.602000,1.310000,-0.619000,0.686000,2.178000,0.201000,-0.372000,-1.184000,0.351000,-0.498000,-0.418000,4.253000,-0.660000,-2.770000,-1.594000,-0.715000,1.617000,-0.495000,0.115000,-0.122000,-0.269000,-0.086000,1.054000,0.994000,-0.651000,-0.613000,1.680000,0.175000,3.210000,2.930000,-0.839000,1.064000,2.871000,2.086000,1.498000,1.799000,1.903000
Romania,October,0.875000,0.510000,0.067000,1.408000,-1.012000,4.171000,2.179000,-0.521000,-0.309000,-1.581000,-1.585000,-2.390000,-0.494000,-0.027000,-0.259000,-0.222000,-0.198000,-0.074000,-1.716000,1.125000,1.888000,1.061000,-0.505000,2.351000,-1.141000,-0.797000,-0.708000,-1.145000,0.294000,0.725000,0.014000,0.690000,2.018000,-0.074000,0.441000,0.151000,-2.259000,0.989000,0.457000,1.239000,2.353000,0.176000,-1.341000,1.868000,0.334000,1.730000,0.357000,1.700000,0.918000,-2.149000,-0.823000,2.472000,1.118000,0.672000,-0.023000,-1.124000,0.821000,2.816000,2.708000
