CODST,ALT,LAT,LON,DATCLIM,TMED,TMAX,TMIN,R24
15015,  503.00,47.7769444,23.9405556,1975/01/01,  -6.6,  -4.7,  -8.6,    .9
15015,  503.00,47.7769444,23.9405556,1975/01/02,  -5.4,  -2.4,  -8.0,    .2
15015,  503.00,47.7769444,23.9405556,1975/01/03,  -4.0,    .0,  -6.4,
15015,  503.00,47.7769444,23.9405556,1975/01/04,  -2.4,   -.9,  -3.2,
15015,  503.00,47.7769444,23.9405556,1975/01/05,  -1.2,   2.0,  -3.1,    .6
15015,  503.00,47.7769444,23.9405556,1975/01/06,   1.4,   5.0,   -.4,    .6
15015,  503.00,47.7769444,23.9405556,1975/01/07,   3.8,   5.2,   2.0,   3.2
15015,  503.00,47.7769444,23.9405556,1975/01/08,   -.6,   4.0,  -3.4,  15.0
15015,  503.00,47.7769444,23.9405556,1975/01/09,  -7.1,  -2.0,  -8.6,
15015,  503.00,47.7769444,23.9405556,1975/01/10,  -6.0,  -2.0,  -8.8,
15015,  503.00,47.7769444,23.9405556,1975/01/11,  -3.1,    .4,  -4.6,
15015,  503.00,47.7769444,23.9405556,1975/01/12,   -.6,   1.4,  -3.8,
15015,  503.00,47.7769444,23.9405556,1975/01/13,   1.1,   4.2,  -1.5,
15015,  503.00,47.7769444,23.9405556,1975/01/14,   1.8,   3.3,    .6,
15015,  503.00,47.7769444,23.9405556,1975/01/15,   -.2,   6.8,  -3.4,
15015,  503.00,47.7769444,23.9405556,1975/01/16,   1.1,   9.4,  -2.3,
15015,  503.00,47.7769444,23.9405556,1975/01/17,   2.0,   8.2,  -2.4,
15015,  503.00,47.7769444,23.9405556,1975/01/18,   2.2,   8.8,  -3.6,
15015,  503.00,47.7769444,23.9405556,1975/01/19,   2.6,  11.0,  -1.0,
15015,  503.00,47.7769444,23.9405556,1975/01/20,   1.6,   7.5,  -2.4,
15015,  503.00,47.7769444,23.9405556,1975/01/21,   1.0,   8.0,  -2.7,
15015,  503.00,47.7769444,23.9405556,1975/01/22,  -1.8,    .8,  -3.8,    .3
15015,  503.00,47.7769444,23.9405556,1975/01/23,  -1.6,  -1.1,  -2.1,    .3
15015,  503.00,47.7769444,23.9405556,1975/01/24,   -.1,   2.6,  -2.7,
15015,  503.00,47.7769444,23.9405556,1975/01/25,   2.0,   3.6,    .1,    .5
15015,  503.00,47.7769444,23.9405556,1975/01/26,  -1.2,    .6,  -4.3,    .9
15015,  503.00,47.7769444,23.9405556,1975/01/27,  -2.8,    .9,  -4.7,
15015,  503.00,47.7769444,23.9405556,1975/01/28,  -3.7,   1.8,  -7.3,
15015,  503.00,47.7769444,23.9405556,1975/01/29,  -1.3,   2.7,  -4.3,
15015,  503.00,47.7769444,23.9405556,1975/01/30,   -.9,   1.2,  -2.0,   2.5
15015,  503.00,47.7769444,23.9405556,1975/01/31,  -2.8,   3.9,  -4.8,
15015,  503.00,47.7769444,23.9405556,1975/02/01,  -4.2,  -1.2,  -8.2,
15015,  503.00,47.7769444,23.9405556,1975/02/02,  -3.8,  -2.0,  -5.5,    .2
15015,  503.00,47.7769444,23.9405556,1975/02/03,  -3.2,   1.7,  -6.3,    .9
15015,  503.00,47.7769444,23.9405556,1975/02/04,  -4.2,   3.9,  -8.4,
15015,  503.00,47.7769444,23.9405556,1975/02/05,  -4.4,    .8,  -8.6,
15015,  503.00,47.7769444,23.9405556,1975/02/06,  -4.8,    .6, -10.0,
15015,  503.00,47.7769444,23.9405556,1975/02/07,  -5.2,  -3.7,  -7.8,    .6
15015,  503.00,47.7769444,23.9405556,1975/02/08,  -5.0,  -1.6,  -8.1,
15015,  503.00,47.7769444,23.9405556,1975/02/09,  -7.6,   3.8, -13.3,
15015,  503.00,47.7769444,23.9405556,1975/02/10,  -5.4,  -1.8,  -8.3,
15015,  503.00,47.7769444,23.9405556,1975/02/11,  -4.6,    .1,  -9.4,
15015,  503.00,47.7769444,23.9405556,1975/02/12,    .1,   2.0,  -2.1,    .1
15015,  503.00,47.7769444,23.9405556,1975/02/13,   2.9,   8.2,    .4,
15015,  503.00,47.7769444,23.9405556,1975/02/14,   1.3,   5.8,  -2.1,
15015,  503.00,47.7769444,23.9405556,1975/02/15,   1.4,   4.6,    .0,   1.7
15015,  503.00,47.7769444,23.9405556,1975/02/16,  -2.7,    .0,  -3.8,   2.4
15015,  503.00,47.7769444,23.9405556,1975/02/17,  -7.2,   -.3, -13.1,
15015,  503.00,47.7769444,23.9405556,1975/02/18,  -6.4,    .0, -11.8,
15015,  503.00,47.7769444,23.9405556,1975/02/19,  -1.8,    .1,  -3.6,
15015,  503.00,47.7769444,23.9405556,1975/02/20,  -1.2,    .7,  -2.6,   4.1
15015,  503.00,47.7769444,23.9405556,1975/02/21,  -2.4,   2.6,  -6.0,
15015,  503.00,47.7769444,23.9405556,1975/02/22,  -3.8,   2.1,  -8.6,
15015,  503.00,47.7769444,23.9405556,1975/02/23,  -1.0,   6.9,  -6.4,
15015,  503.00,47.7769444,23.9405556,1975/02/24,   -.2,   5.0,  -4.0,
15015,  503.00,47.7769444,23.9405556,1975/02/25,  -1.7,   4.0,  -5.9,
15015,  503.00,47.7769444,23.9405556,1975/02/26,  -4.0,   -.3,  -5.6,    .0
15015,  503.00,47.7769444,23.9405556,1975/02/27,  -6.2,  -2.0,  -8.0,    .6
15015,  503.00,47.7769444,23.9405556,1975/02/28,  -3.4,   1.8,  -8.3,
15015,  503.00,47.7769444,23.9405556,1975/03/01,  -3.3,   3.4,  -8.5,
15015,  503.00,47.7769444,23.9405556,1975/03/02,   -.4,   9.8,  -5.4,
15015,  503.00,47.7769444,23.9405556,1975/03/03,   4.0,  11.1,    .4,
15015,  503.00,47.7769444,23.9405556,1975/03/04,   4.8,  14.2,    .7,
15015,  503.00,47.7769444,23.9405556,1975/03/05,   5.8,  15.0,   1.0,
15015,  503.00,47.7769444,23.9405556,1975/03/06,   5.5,  14.6,   1.4,
15015,  503.00,47.7769444,23.9405556,1975/03/07,   5.6,  12.6,   1.6,   2.6
15015,  503.00,47.7769444,23.9405556,1975/03/08,   7.7,  15.4,   2.6,    .8
15015,  503.00,47.7769444,23.9405556,1975/03/09,   9.9,  20.4,   2.6,
15015,  503.00,47.7769444,23.9405556,1975/03/10,  10.4,  18.2,   4.0,
15015,  503.00,47.7769444,23.9405556,1975/03/11,   8.0,  14.8,   5.0,
15015,  503.00,47.7769444,23.9405556,1975/03/12,   8.4,  15.9,   2.7,
15015,  503.00,47.7769444,23.9405556,1975/03/13,   6.8,  12.4,   4.2,   5.8
15015,  503.00,47.7769444,23.9405556,1975/03/14,   8.3,  15.0,   2.0,
15015,  503.00,47.7769444,23.9405556,1975/03/15,   9.3,  13.2,   5.9,
15015,  503.00,47.7769444,23.9405556,1975/03/16,   5.2,  11.8,    .2,
15015,  503.00,47.7769444,23.9405556,1975/03/17,   6.2,  14.3,    .0,
15015,  503.00,47.7769444,23.9405556,1975/03/18,   6.2,  13.7,   1.6,    .2
15015,  503.00,47.7769444,23.9405556,1975/03/19,   6.2,  14.6,    .4,
15015,  503.00,47.7769444,23.9405556,1975/03/20,   8.2,  14.9,   2.9,
15015,  503.00,47.7769444,23.9405556,1975/03/21,   2.5,   9.4,  -1.1,
15015,  503.00,47.7769444,23.9405556,1975/03/22,  -1.6,   4.7,  -6.6,
15015,  503.00,47.7769444,23.9405556,1975/03/23,   1.3,   7.2,  -3.6,
15015,  503.00,47.7769444,23.9405556,1975/03/24,   3.6,   8.0,  -1.1,
15015,  503.00,47.7769444,23.9405556,1975/03/25,   1.0,   6.0,    .0,   1.0
15015,  503.00,47.7769444,23.9405556,1975/03/26,   -.1,   3.0,  -1.2,  11.1
15015,  503.00,47.7769444,23.9405556,1975/03/27,   2.4,   6.1,  -1.0,   2.0
15015,  503.00,47.7769444,23.9405556,1975/03/28,   7.0,  12.0,   4.2,    .6
15015,  503.00,47.7769444,23.9405556,1975/03/29,   7.6,  10.3,   4.3,   7.5
15015,  503.00,47.7769444,23.9405556,1975/03/30,  10.1,  17.9,   4.4,   3.6
15015,  503.00,47.7769444,23.9405556,1975/03/31,  14.5,  22.4,   8.8,
15015,  503.00,47.7769444,23.9405556,1975/04/01,   9.8,  14.6,   6.9,  12.1
15015,  503.00,47.7769444,23.9405556,1975/04/02,   5.9,   8.1,   3.7,   4.8
15015,  503.00,47.7769444,23.9405556,1975/04/03,   7.0,  10.5,   4.6,  18.9
15015,  503.00,47.7769444,23.9405556,1975/04/04,   7.7,  13.0,   4.0,    .6
15015,  503.00,47.7769444,23.9405556,1975/04/05,  10.8,  18.9,   4.4,
15015,  503.00,47.7769444,23.9405556,1975/04/06,  14.6,  21.0,   9.1,
15015,  503.00,47.7769444,23.9405556,1975/04/07,  19.0,  24.6,  13.6,
15015,  503.00,47.7769444,23.9405556,1975/04/08,  16.8,  22.6,  13.6,
15015,  503.00,47.7769444,23.9405556,1975/04/09,   8.9,  14.0,   5.6,   9.3
15015,  503.00,47.7769444,23.9405556,1975/04/10,   8.5,  14.8,   3.2,    .4
15015,  503.00,47.7769444,23.9405556,1975/04/11,   5.4,  12.4,   2.0,  10.6
15015,  503.00,47.7769444,23.9405556,1975/04/12,   1.0,   4.8,    .0,   1.0
15015,  503.00,47.7769444,23.9405556,1975/04/13,   2.5,   6.8,   -.3,   9.2
15015,  503.00,47.7769444,23.9405556,1975/04/14,   2.7,   7.4,    .1,    .6
15015,  503.00,47.7769444,23.9405556,1975/04/15,   5.5,  10.1,   2.1,   2.1
15015,  503.00,47.7769444,23.9405556,1975/04/16,  10.2,  15.7,   5.4,
15015,  503.00,47.7769444,23.9405556,1975/04/17,   8.0,  12.4,   6.5,  10.9
15015,  503.00,47.7769444,23.9405556,1975/04/18,   6.4,  10.6,   1.0,   1.2
15015,  503.00,47.7769444,23.9405556,1975/04/19,   5.4,   9.4,   2.1,
15015,  503.00,47.7769444,23.9405556,1975/04/20,   4.9,   6.0,   3.3,   3.6
15015,  503.00,47.7769444,23.9405556,1975/04/21,   4.0,   7.2,   2.0,   3.2
15015,  503.00,47.7769444,23.9405556,1975/04/22,   7.9,  10.6,   4.0,   1.8
